,法人名,職種,給与情報
20,['株式会社二木商会'],"['コンビニ', '[ア・パ]①②③レジ打ち、販売その他、サービスその他']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]①時給1,080円～、②時給1,150円～、③時給1,360円～', '交通費：全額支給', '17:00～22:00:時給1080円', '05:00～10:00:時給1150円', '22:00～05:00:時給1360円', '日曜日勤務の場合は、全時間帯時給＋50円アップします♪', '新型コロナウイルス関連の支援について', '綾瀬にあるファミリーマートの募集です！', 'お客様は、特に近隣に住んでいる方が多いみたいで、', 'いつの間にか顔なじみになっているという事もあるみたいです(^^♪', '仕事をやっていてよかったなと思えるポイントは、', '常連のお客様との会話やありがとうの言葉☆', '働いているスタッフさんは、仲が良く、', '分からないことがあるとすぐに聞ける環境で', '仕事にすぐの慣れるとスタッフの方が仰っていました！', '未経験でも安心して働けると思うので', 'アルバイトデビューの方や空いている時間を活用して', '働きたいという方には、特におすすめのアルバイトだと思います！！', 'バイトル担当者（女性）より']"
21,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
22,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
23,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
24,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
25,['JR九州リテール株式会社'],"['コンビニ', '[ア・パ]①②③レジ打ち、品出し(ピッキング)、サービスその他']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]①時給1,130円～、②時給1,230円～、③時給1,413円～', '交通費：全額支給', '※規定あり', '■時間帯によって時給変動あり', '・08:30～22:00', '時給1,130円～', '・05:00～08:30', '時給1,230円～', '・22:00～05:00', '時給1,413円～', '■早朝勤務時給UP！', '■昇給有り', '最短で3ヵ月～半年で昇給します。', '・入社最短3~4カ月で50円UPも！', '・週3日勤務の方は半年後に昇給', '■有給休暇有り', '既存スタッフのほとんどは、', '日常的に有給消化しております！', '【昇給制度について】', '・雇用形態：アルバイト', '・昇給額：平均10/50円/80円/100円', '段階ごとに分かれてる', '・回数：年複数回程度', '・反映時期：習得度テスト実施の次月より反映', '・評価手法：習得度テスト合格により昇給', '新型コロナウイルス関連の支援について', 'コンビニってこんなにオシャレだっけ？', 'がお店に入ったときの印象！', 'レジ周りも商品が並ぶ棚も、', 'どこもとってもきれい。', '虎ノ門ヒルズの中にあり', 'オフィスワーカーさんが利用するため', '客層もよくセキュリティも万全だから', 'いろんなコンビニがある中でどうせ選ぶなら', '絶対ここ！！', '「コンビニで揚げ物ないのは珍しくて嬉しい！」', 'と取材に協力くださった方もおっしゃっていました！', '虎ノ門駅から直結なので', '雨の日も外に出ず出勤できて', '立地もいいお勧めです◎']"
26,['株式会社ダイチコーポレーション'],"['株式会社イグゼック', '[正]レジ打ち、品出し(ピッキング)、サービスその他']","['交通費有', '高収入', 'Raise', 'The', 'Salary', '昇給あり', '[正]月給25万円～', '交通費：全額支給', '自転車通勤OK!', '※バイク通勤は要相談', '※[正]には、固定残業代：80,000円～／45時間～相当分が含まれます。', '※上記を超えて残業をした場合は、別途残業代をお支払いします。', '・未経験：月給250,000円～', '・経験者：面接時に応相談可！', '＜給与面に関して＞', '￣￣￣￣￣￣￣￣￣', '■昇給あり(年1回)', '■賞与あり(年2回)', '※お店の売上・業績により変動しますが', '昨年の賞与額(2回分)は給与の約1~2ヶ月分になります。', '■試用期間(3ヵ月)中も給与変動なし', '新型コロナウイルス関連の支援について', '今回は実際に採用担当の方にお話をお伺いしました。', 'イグゼックさんの魅力一覧！', '◆働きやすい職場づくり', '従業員が多いからこそ一人一人の', '働き甲斐を大切にしています。', 'コミュニケーションを重視し、', '様々な意見を実際に取り入れてます。', '◆経験豊富な社員がしっかりサポート', '未経験の方でも安心して働けるよう', '社員一同しっかりサポートいたします。', '実際に現在運営中のうち3店舗が、', 'セブン-イレブンの優秀店に選出！', 'ノウハウもしっかりお教えいたします。']"
27,['株式会社スバル'],"['コンビニ', '[ア・パ]①②レジ打ち、販売その他、サービスその他']","['交通費有', '高収入', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,850円、②時給1,500円', '交通費：一部支給', '時給とは別途で支給します！', '※往復1,000円まで/日', '■昇給あり', '■深夜帯（22:00～5:00）：時給1,850円', '■研修期間あり：1ヵ月', '※時給1,200円（22:00～5:00は1,500円）', '【給与例】', '・夜勤', '時給1,850円×6時間＋1,500円×2時間+1,850円で', '1回勤務あたり15,950円', '・日勤', '時給1,500円×8時間で', '1回勤務あたり12,000円', '新型コロナウイルス関連の支援について', 'コンビニ派遣だと知らない店舗に', '行くから少し不安だったりしますよね。', 'スバルさんが経営するコンビニの店長さんは', 'みんな個性豊かな方々ばかり！', 'すぐに馴染むことができますよ！', '物腰の柔らかくて、こちらまで和んでしまう店長さん', '毎回、体調を気にかけてくれる店長さん', 'コミュ力抜群で、気づいたらこちらが笑顔になってる店長さん', '店舗ひとつひとつで店長さんの色があるので', 'ヘルプで勤務していても', 'マンネリ化することはありません★']"
28,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
29,"['ライジング厚生サービス株式会社', '東京本社']","['セブンイレブン', '[ア・パ]①②レジ打ち、販売その他、案内(インフォメーション/レセプション)・フロント']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,400円～、②時給1,100円～', '交通費：全額支給', '※試用期間（概ね3ヶ月）は1日上限700円の実費', '※別途、定期券を既にお持ちの方等は社内規定あり', '・6～8時：時給1,400円～', '・8時以降については', '時給1,100円～', '※研修期間あり(概ね3ヵ月)', '・6～8時：時給1,380円～', '・8時以降については', '時給1,080円～', '【昇給制度について】', '・雇用形態：アルバイト', '・昇給額：平均20円(1回あたり)', '・回数：年2回', '・反映時期：毎年4月と10月', '・評価手法：日々の勤務態度と面談の上,時給を確定します。', '＼基本時給はMAX1,280円も可能!／', '新型コロナウイルス関連の支援について', '【店長さん・スタッフさんの包容力◎】', '学生さんから主婦(夫)の方まで', '幅広い年齢層の方がいらっしゃって、', '店長さんはもお父さんもしくはお兄さんのような方なので', 'どんな年齢層の方が入社されても', 'すぐに馴染んで、長く勤務されている方が多いと思います！', '腰を据えて長くお仕事をしたい！', 'そんな方は是非ご応募してみて下さい。']"
30,['ローソングループ'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '[ア・パ]時給1,100円～1,375円', '交通費：全額支給', '新型コロナウイルス関連の支援について', 'ローソンは全店自動釣銭機のレジを導入しています。', 'だからアルバイト自体が初めての方や、', '販売のお仕事が初めての方にも、とってもおすすめのバイト先です！', 'でもコンビニって覚えることが多そう・・', 'そんな不安のある方も安心してください。', '「クルー育成プログラム」が整備されているので、', 'しっかり研修も受けられます。', 'さらに、業務の習得や習熟度に応じて', 'ステップアップできる「クルーランクアップ制度」もあるので、', '自分のランクも分かりやすく、目標も立てやすいですよ。']"
31,['株式会社きぼう'],"['コンビニ', '[ア・パ]①②③レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,382円～、②時給1,090円～、③時給1,160円～', '交通費：全額支給', '自転車通勤可能です◎', '◆昇給…年2回/30円～', '（評価制度に基づく）', '※反映時期は月末締め、翌月払い', '＼時間帯によっては給料UP★／', '研修期間中も給与の変動はありません♪', '＜朝の時間帯＞', '5:00～7:00…時給1200円', '7:00～9:00…時給1160円', '＜昼の時間帯＞', '9:00～22:00…時給1090円', '＜夜の時間帯＞', '22:00～5:00…時給1382円', '◆時給＋70円アップ', '・金曜日の22時～土日祝日', '※祝日の前夜から70円アップ', '※月曜日、祝日の翌日7時迄', '→【夜勤】時給1452円（1382円＋70円）', '【昼金】時給1160円', '(1090円＋70円)', '【朝勤】時給1230円', '(1160円＋70円)', '時給1270円', '(1200円＋70円)', '◆お正月は最大時給＋550円', '→最大7000円支給あり！']"
32,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
33,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち']","['交通費有', '高収入', '扶養控除内', '[ア・パ]時給1,500円～1,875円', '交通費：一部支給', '店舗～自宅間（２km以上の場合）の交通費を最短距離で実費支給。', '【オープニング時給★※5月20日まで】', '・開店時間～9時は時給1650円（高校生は時給1600円）', '・9時～17時は時給1500円（高校生は時給1450円）', '・17時～22時は時給1500円（高校生は時給1450円）', '・22時以降は時給1875円（※22時以降高校生不可）', '※日・祝は時給＋50円', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
34,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['昇給あり', '[ア・パ]時給1,080円～1,350円', '※高校生時給1080円／研修期間（2日間）も時給は変わりません／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', '新しいお店でみんなで一緒にスタート！', '仕事の内容も覚える事がたくさんあって大変なイメージを、', '持っている方もいるかもしれませんが、', 'マニュアルがきっちりしているので安心してください。', '新しい環境で、新たにスタートを切りたいという方におススメですよ！']"
35,['ファミマ！！ハレザ池袋店'],"['ファミマ！！ハレザ池袋店', '[ア・パ]①②③レジ打ち、販売その他、サービスその他']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]①時給1,081円～、②時給1,200円～、③時給1,350円～', '交通費：全額支給', '■昇給有り', '■有給休暇有り', '他店舗の既存スタッフのほとんどは、', '日常的に有給消化しております！有給消化率は100％です！', '新型コロナウイルス関連の支援について', '新しいオフィスビルの7階にあるとってもきれいな店舗です！', '本格的なコーヒーや普通のカフェよりもおしゃれなイートインがあります！', '大きな窓もあり景色も素敵です◎', 'お店もとっても素敵ですがスタッフさん', 'が優しいところもいいところ！', '動画で雰囲気も充分伝わるかと思いますが', '本当にいつでもにこにこしていてとっても素敵な方です！', 'アルバイト初めての方もブランクがある方ででも', '安心して働けると思います◎']"
